Document No,Purchase Date,Quantity,Net Price,Customer ID
13354517,00:00.0,1,1060000,1096771
13354517,00:00.0,2,1060000,1096771
13393126,00:00.0,3,1060000,1096771
12714963,00:00.0,500,8300,1102459
12720899,00:00.0,200,217.8,1102459
12714963,00:00.0,500,8300,1102459
12557535,00:00.0,50,1.32,1102459
12557535,00:00.0,600,0.93,1102459
12957675,00:00.0,1,0,1102459
12714963,00:00.0,100,17990,1102459
12542099,00:00.0,300,1.32,1102459
12750666,00:00.0,100,217.8,1102459
12772321,00:00.0,150,217.8,1102459
12714963,00:00.0,100,17990,1102459
13422861,00:00.0,100,12500,1102459
12714963,00:00.0,500,8300,1102459
12563340,00:00.0,300,217.8,1102459
12714963,00:00.0,800,5480,1102459
12610496,00:00.0,300,217.8,1102459
12714963,00:00.0,200,17990,1102459
12714963,00:00.0,200,17990,1102459
12566813,00:00.0,300,217.8,1102459
12610496,00:00.0,450,93,1102459
12714963,00:00.0,100,8300,1102459
12714963,00:00.0,200,8300,1102459
12714963,00:00.0,100,17990,1102459
12714963,00:00.0,700,8300,1102459
12720899,00:00.0,100,217.8,1102459
12714963,00:00.0,1200,5480,1102459
13099433,00:00.0,200,53705,1078039
13472888,00:00.0,1000,31000,1118176
13472888,00:00.0,1000,17575,1118176
13472888,00:00.0,1000,15390,1118176
12991468,00:00.0,150,40446,1125502
12991468,00:00.0,100,97378,1125502
12991468,00:00.0,150,54574,1125502
12991468,00:00.0,65,79926,1125502
12991468,00:00.0,120,53704,1125502
12991468,00:00.0,150,24586,1125502
13401226,00:00.0,1000,691,1145417
13196855,00:00.0,50,46755,1155988
13451285,00:00.0,3000,690,1145417
13488338,00:00.0,1000,675,1145417
13400617,00:00.0,2000,465,1145417
13413874,00:00.0,1000,653,1145417
13468321,00:00.0,2000,695,1145417
13413874,00:00.0,1000,465,1145417
13488338,00:00.0,1000,675,1145417
13485929,00:00.0,1000,668,1145417
13468321,00:00.0,1000,695,1145417
13451285,00:00.0,1000,690,1145417
13426442,00:00.0,1000,658,1145417
13451285,00:00.0,1000,690,1145417
13341712,00:00.0,300,7500,1155918
13356440,00:00.0,50,24000,1161452
13362429,00:00.0,20,107900,1161452
13383903,00:00.0,50,17500,1161452
13426442,00:00.0,1000,468,1145417
13468331,00:00.0,3000,695,1145417
13468321,00:00.0,1000,657,1145417
13468321,00:00.0,2000,657,1145417
13504349,00:00.0,2000,675,1145417
13248223,00:00.0,100,5123,1046690
13500596,00:00.0,1000,42500,1046690
13426415,00:00.0,150,6924,1046690
13199831,00:00.0,200,1580,1046690
13199831,00:00.0,50,15173,1046690
13331501,00:00.0,100,2145,1046690
12989739,00:00.0,100,3510,1046690
13005608,00:00.0,25,83753,1046690
12989811,00:00.0,500,19238,1046690
13446847,00:00.0,50,20500,1046690
12571257,00:00.0,500,133.94,1046690
12657134,00:00.0,100,52.37,1046690
13232408,00:00.0,100,2257,1046690
13331501,00:00.0,10,22545,1046690
13139801,00:00.0,100,1730,1046690
13117420,00:00.0,100,9763,1046690
12609717,00:00.0,1000,2.98,1046690
13117420,00:00.0,100,3175,1046690
13117420,00:00.0,9,37409,1046690
12617520,00:00.0,100,48.35,1046690
12996587,00:00.0,25,4765610,1046690
12941397,00:00.0,105,6480,1046690
12996587,00:00.0,25,1326863,1046690
13248223,00:00.0,400,24000,1046690
12670225,00:00.0,1000,1094.59,1046690
13232408,00:00.0,5,97000,1046690
12552977,00:00.0,100,151.47,1046690
13199831,00:00.0,200,925,1046690
12568718,00:00.0,300,120.15,1046690
12954188,00:00.0,150,1580,1046690
12989739,00:00.0,13,3953,1046690
12606866,00:00.0,100,100.7,1046690
12608922,00:00.0,50,11.2,1046690
12614395,00:00.0,150,78,1046690
12966231,00:00.0,100,3510,1046690
12989739,00:00.0,25,16363,1046690
13291862,00:00.0,50,6924,1046690
13241195,00:00.0,10,98466,1046690
12609717,00:00.0,300,1.17,1046690
13348821,00:00.0,350,18000,1046690
13005608,00:00.0,25,7825,1046690
12954188,00:00.0,50,7407,1046690
13326142,00:00.0,750,18000,1046690
13139801,00:00.0,25,52346,1046690
12996587,00:00.0,25,1143630,1046690
13011126,00:00.0,60,28688,1046690
12535443,00:00.0,50,170.27,1046690
13223574,00:00.0,500,67150,1046690
12609717,00:00.0,400,2.98,1046690
13224721,00:00.0,50,6924,1046690
13224728,00:00.0,500,12463,1046690
13005608,00:00.0,25,11358,1046690
13426415,00:00.0,200,2500,1046690
13367353,00:00.0,10,34974,1046690
12989739,00:00.0,10,41163,1046690
12574225,00:00.0,1500,528.1,1046690
13291862,00:00.0,160,75000,1046690
13269229,00:00.0,300,55594,1046690
13005608,10/05/16 0:00,25,10980,1046690
13367353,00:00.0,10,22545,1046690
12989739,00:00.0,10,335254,1046690
12617520,00:00.0,100,16.1,1046690
13348821,00:00.0,100,1580,1046690
13367353,00:00.0,5,340086,1046690
12670225,00:00.0,500,562.4,1046690
12735797,00:00.0,100,54,1046690
13151968,00:00.0,10,98466,1046690
12524787,00:00.0,300,3.99,1046690
12687073,00:00.0,100,170.27,1046690
13050558,00:00.0,50,20122,1046690
13272492,00:00.0,10,98466,1046690
12989739,00:00.0,20,2145,1046690
12966231,00:00.0,50,6480,1046690
